frame,processing_ms,deadline_ms,deadline_missed
0,5.242313,10.000000,0
1,5.275127,10.000000,0
2,5.235887,10.000000,0
3,5.268942,10.000000,0
4,5.410737,10.000000,0
5,5.280479,10.000000,0
6,5.335941,10.000000,0
7,5.450255,10.000000,0
8,5.285498,10.000000,0
9,5.246276,10.000000,0
10,5.276479,10.000000,0
11,5.308127,10.000000,0
12,5.216017,10.000000,0
13,5.303923,10.000000,0
14,5.362349,10.000000,0
15,5.341090,10.000000,0
16,5.312812,10.000000,0
17,5.321886,10.000000,0
18,5.335515,10.000000,0
19,5.302756,10.000000,0
20,5.275831,10.000000,0
21,5.331015,10.000000,0
22,5.395163,10.000000,0
23,5.294331,10.000000,0
24,5.371792,10.000000,0
25,5.333719,10.000000,0
26,5.258313,10.000000,0
27,5.355090,10.000000,0
28,5.271979,10.000000,0
29,5.382460,10.000000,0
30,5.275516,10.000000,0
31,5.284905,10.000000,0
32,5.232628,10.000000,0
33,5.357571,10.000000,0
34,5.294738,10.000000,0
35,5.390108,10.000000,0
36,5.350163,10.000000,0
37,5.308053,10.000000,0
38,5.262275,10.000000,0
39,5.291294,10.000000,0
40,5.437181,10.000000,0
41,5.195739,10.000000,0
42,5.349534,10.000000,0
43,5.299701,10.000000,0
44,5.354664,10.000000,0
45,5.421847,10.000000,0
46,5.360626,10.000000,0
47,5.264554,10.000000,0
48,5.176073,10.000000,0
49,5.370997,10.000000,0
50,5.188036,10.000000,0
51,5.323294,10.000000,0
52,5.345830,10.000000,0
53,5.326090,10.000000,0
54,5.279887,10.000000,0
55,5.374237,10.000000,0
56,5.221294,10.000000,0
57,5.291941,10.000000,0
58,5.229924,10.000000,0
59,5.378126,10.000000,0
60,5.216498,10.000000,0
61,5.305905,10.000000,0
62,5.297405,10.000000,0
63,5.343589,10.000000,0
64,5.280683,10.000000,0
65,3.707904,10.000000,0
66,1.707352,10.000000,0
67,1.683018,10.000000,0
68,1.740814,10.000000,0
69,1.694259,10.000000,0
70,1.729185,10.000000,0
71,1.698000,10.000000,0
72,1.691334,10.000000,0
73,1.740611,10.000000,0
74,1.686444,10.000000,0
75,1.750388,10.000000,0
76,1.691203,10.000000,0
77,1.736963,10.000000,0
78,1.693574,10.000000,0
79,1.682185,10.000000,0
80,1.731110,10.000000,0
81,1.691981,10.000000,0
82,1.737703,10.000000,0
83,1.690019,10.000000,0
84,1.732666,10.000000,0
85,1.700130,10.000000,0
86,1.686314,10.000000,0
87,1.737074,10.000000,0
88,1.690666,10.000000,0
89,1.756963,10.000000,0
