frame,processing_ms,deadline_ms,deadline_missed
0,5.231594,10.000000,0
1,5.291961,10.000000,0
2,5.287943,10.000000,0
3,5.278222,10.000000,0
4,5.667850,10.000000,0
5,5.516523,10.000000,0
6,5.251260,10.000000,0
7,5.346958,10.000000,0
8,5.601501,10.000000,0
9,5.277722,10.000000,0
10,5.243187,10.000000,0
11,5.201411,10.000000,0
12,5.288628,10.000000,0
13,5.315127,10.000000,0
14,5.332256,10.000000,0
15,5.360903,10.000000,0
16,5.406808,10.000000,0
17,5.294332,10.000000,0
18,5.272092,10.000000,0
19,5.329386,10.000000,0
20,5.212447,10.000000,0
21,5.278814,10.000000,0
22,5.208188,10.000000,0
23,5.279240,10.000000,0
24,5.296184,10.000000,0
25,5.288332,10.000000,0
26,5.270259,10.000000,0
27,5.272110,10.000000,0
28,5.275667,10.000000,0
29,5.226668,10.000000,0
30,5.201652,10.000000,0
31,5.273333,10.000000,0
32,5.289072,10.000000,0
33,5.188597,10.000000,0
34,5.249316,10.000000,0
35,5.286777,10.000000,0
36,5.211614,10.000000,0
37,5.323275,10.000000,0
38,5.281518,10.000000,0
39,5.254464,10.000000,0
40,5.197763,10.000000,0
41,5.264352,10.000000,0
42,5.257574,10.000000,0
43,5.237687,10.000000,0
44,5.224243,10.000000,0
45,5.296646,10.000000,0
46,5.230410,10.000000,0
47,5.217317,10.000000,0
48,5.320849,10.000000,0
49,5.277981,10.000000,0
50,5.218040,10.000000,0
51,5.283628,10.000000,0
52,5.231113,10.000000,0
53,5.208540,10.000000,0
54,5.231205,10.000000,0
55,5.212911,10.000000,0
56,5.238186,10.000000,0
57,5.295109,10.000000,0
58,5.247427,10.000000,0
59,5.215947,10.000000,0
60,5.219539,10.000000,0
61,5.366421,10.000000,0
62,5.312645,10.000000,0
63,5.205744,10.000000,0
64,5.271370,10.000000,0
65,5.286166,10.000000,0
66,5.263686,10.000000,0
67,5.295332,10.000000,0
68,5.211058,10.000000,0
69,5.200670,10.000000,0
70,5.274370,10.000000,0
71,5.174894,10.000000,0
72,5.242501,10.000000,0
73,5.303221,10.000000,0
74,5.273592,10.000000,0
75,5.371032,10.000000,0
76,5.335386,10.000000,0
77,5.222447,10.000000,0
78,5.268705,10.000000,0
79,5.232892,10.000000,0
80,5.344923,10.000000,0
81,5.249928,10.000000,0
82,5.249687,10.000000,0
83,5.265094,10.000000,0
84,5.230003,10.000000,0
85,5.236483,10.000000,0
86,5.302092,10.000000,0
87,5.192135,10.000000,0
88,5.260316,10.000000,0
89,5.293352,10.000000,0
90,5.205893,10.000000,0
91,5.228670,10.000000,0
92,5.388254,10.000000,0
93,5.211744,10.000000,0
94,5.274112,10.000000,0
95,5.278370,10.000000,0
96,5.225170,10.000000,0
